City served,State,ICAO,IATA,Airport name,Administrator
Água Boa,Mato Grosso,SWHP,GGB,Água Boa (Olhos d'água) Airport,
Alegrete,Rio Grande do Sul,SSLT,ALQ,Gaudêncio Machado Ramos Airport,
Alenquer,Pará,SDWQ,ALT,Alenquer Airport,
Almeirim,Pará,SNYA,GGF,Almeirim Airport,
Alta Floresta,Mato Grosso,SBAT,AFL,Piloto Oswaldo Marques Dias Airport,Aeroeste
Altamira,Pará,SBHT,ATM,Altamira Airport,Infraero
Angra dos Reis,Rio de Janeiro,SDAG,GDR,Angra dos Reis Airport,Angra Aero-Portos
Apucarana,Paraná,SSAP,APU,Capitão João Busse Airport,SEIL
Aracaju,Sergipe,SBAR,AJU,Santa Maria Airport,AENA
Aracati,Ceará,SBAC,ARX,Dragão do Mar Airport,Socicam
Araçatuba,São Paulo,SBAU,ARU,Dario Guarita Airport,DAESP / Socicam
Araguaína,Tocantins,SWGN,AUX,Araguaína Airport,Esaero
Arapongas,Paraná,SSOG,APX,Alberto Bertelli Airport,SEIL
Arapoti,Paraná,SSYA,AAG,Avelino Vieira Airport,SEIL
Araraquara,São Paulo,SBAQ,AQA,Bartolomeu de Gusmão Airport,DAESP / Voa São Paulo
Araxá,Minas Gerais,SBAX,AAX,Romeu Zema Airport,
Aripuanã,Mato Grosso,SSOU,AIR,Aripuanã Airport,
Armação dos Búzios,Rio de Janeiro,SSBZ,BZC,Umberto Modiano Airport,
Arraias,Tocantins,SWRA,AAI,Deputado Joaquim Coelho Airport,
Assis,São Paulo,SNAX,AIF,Marcelo Pires Halzhausen Airport,DAESP / Socicam
Avaré / Arandu,São Paulo,SDRR,QVP,Comte. Luiz Gonzaga Luth Airport,DAESP / Voa São Paulo
Bagé,Rio Grande do Sul,SBBG,BGX,Comte. Gustavo Kraemer Airport,Infraero / CCR
Barcelos,Amazonas,SWBC,BAZ,Barcelos Airport,
Barra,Bahia,SNBX,BQQ,Barra Airport,
Barra do Garças,Mato Grosso,SBBW,BPG,Barra do Garças Airport,
Barreiras,Bahia,SNBR,BRA,Barreiras Airport,
Barreirinha,Amazonas,SWBI,,Barreirinha Airport,
Barreirinhas,Maranhão,SSRS,BRB,Barreirinhas Airport,
Barretos,São Paulo,SNBA,BAT,Chafei Amsei Airport,DAESP / Socicam
Bauru,São Paulo,SBBU,BAU,Comte. João Ribeiro de Barros Airport,
Bauru / Arealva,São Paulo,SBAE,JTC,Moussa Nakhal Tobias Airport,DAESP / Voa São Paulo
Belém,Pará,SBJC,,Brig. Protásio de Oliveira Airport (Júlio César),Infraero
Belém,Pará,SBBE,BEL,Val-de-Cans-Júlio Cezar Ribeiro International Airport,Infraero
Belo Horizonte,Minas Gerais,SBPR,,Carlos Prates Airport,Infraero
Belo Horizonte,Minas Gerais,SBBH,PLU,Pampulha-Carlos Drummond de Andrade Airport,Minas Gerais
Belo Horizonte / Confins,Minas Gerais,SBCF,CNF,Tancredo Neves International Airport,BH Airport
Belo Jardim,Pernambuco,SNBJ,,Belo Jardim Airport,
Boa Vista,Roraima,SBBV,BVB,Atlas Brasil Cantanhede International Airport,Infraero / Vinci SA
Bom Jesus da Lapa,Bahia,SBLP,LAZ,Bom Jesus da Lapa Airport,
Bonito,Mato Grosso do Sul,SBDB,BYO,Bonito Airport,
Borba,Amazonas,SWBR,RBB,Borba Airport,
Bragança Paulista,São Paulo,SBBP,BJP,Arthur Siqueira Airport,Voa São Paulo
Brasília,Federal District,SBBR,BSB,Pres. Juscelino Kubitschek International Airport,Inframérica
Breves,Pará,SNVS,BVS,Breves Airport,
Cabo Frio,Rio de Janeiro,SBCB,CFB,Cabo Frio International Airport,Costa do Sol
Caçador,Santa Catarina,SBCD,CFC,Carlos Alberto da Costa Neves Airport,
Cachoeiro de Itapemirim,Espírito Santo,SNKI,CDI,Raimundo de Andrade Airport,
Cacoal,Rondônia,SSKW,OAL,Capital do Café Airport,
Caldas Novas / Rio Quente,Goiás,SBCN,CLV,Nelson Ribeiro Guimarães Airport,Socicam
Campina Grande,Paraíba,SBKG,CPV,Pres. João Suassuna Airport,AENA
Campinas,São Paulo,SDAM,,Campo dos Amarais Airport,Voa São Paulo
Campinas,São Paulo,SBKP,VCP,Viracopos International Airport,Aeroportos Brasil
Campo Grande,Mato Grosso do Sul,SBCG,CGR,Campo Grande International Airport,Infraero
Campo Mourão,Paraná,SSKM,CBW,Cel. Geraldo Guias de Aquino Airport,SEIL
Campos dos Goytacazes,Rio de Janeiro,SBCP,CAW,Bartolomeu Lysandro Airport,Infra
Canarana,Mato Grosso,SWEK,CQA,Canarana Airport,
Canela,Rio Grande do Sul,SSCN,CEL,Canela Airport,
Carajás (Parauapebas),Pará,SBCJ,CKS,Carajás Airport,Infraero
Carauari,Amazonas,SWCA,CAF,Carauari Airport,
Caravelas,Bahia,SBCV,CRQ,Caravelas Airport,
Carolina,Maranhão,SBCI,CLN,Carolina Airport,
Caruaru,Pernambuco,SNRU,CAU,Oscar Laranjeiras Airport,
Cascavel,Paraná,SBCA,CAC,Coronel Adalberto Mendes da Silva Airport,SEIL
Caxias do Sul,Rio Grande do Sul,SBCX,CXJ,Hugo Cantergiani Regional Airport (Campo dos Bugres),DAP
Chapecó,Santa Catarina,SBCH,XAP,Serafin Enoss Bertaso Airport,
Cianorte,Paraná,SSCT,QCN,Engenheiro Gastão de Mesquita Filho Airport,SEIL
Coari,Amazonas,SWKO,CIZ,Coari Airport,
Conceição do Araguaia,Pará,SBAA,CDJ,Conceição do Araguaia Airport,
Concórdia,Santa Catarina,SSCK,CCI,Olavo Cecco Rigon Airport,
Confresa,Mato Grosso,SWKF,CFO,Confresa Airport,Frenova
Cornélio Procópio,Paraná,SSCP,CKO,Francisco Lacerda Junior Airport,SEIL
Corumbá,Mato Grosso do Sul,SBCR,CMG,Corumbá International Airport,Infraero
Crateús,Ceará,SNWS,,Dr. Lúcio Lima Airport,
Criciúma / Forquilhinha,Santa Catarina,SSIM,CCM,Diomício Freitas Airport,Infracea
Cruzeiro do Sul,Acre,SBCZ,CZS,Cruzeiro do Sul International Airport,Infraero / Vinci SA
Cuiabá / Várzea Grande,Mato Grosso,SBCY,CGB,Mal. Rondon International Airport,Aeroeste
Curitiba,Paraná,SBBI,BFH,Bacacheri Airport,Infraero / CCR
Curitiba / São José dos Pinhais,Paraná,SBCT,CWB,Afonso Pena International Airport,Infraero / CCR
Diamantina,Minas Gerais,SNDT,DTI,Juscelino Kubitschek Airport,
Divinópolis,Minas Gerais,SNDV,DIQ,Brig. Cabral Airport,
Dourados,Mato Grosso do Sul,SBDO,DOU,Francisco de Matos Pereira Airport,
Eirunepé,Amazonas,SWEI,ERN,Amaury Feitosa Tomaz Airport,
Erechim,Rio Grande do Sul,SSER,ERM,Erechim Airport,DAP
Feijó,Acre,SNOU,FEJ,Feijó Airport,
Feira de Santana,Bahia,SDIY,FEC,Gov. João Durval Carneiro Airport,FSA
Fernando de Noronha,Pernambuco,SBFN,FEN,Gov. Carlos Wilson Airport,Dix
Florianópolis,Santa Catarina,SBFL,FLN,Hercílio Luz International Airport,Zurich Airport Brasil
Fonte Boa,Amazonas,SWOB,FBA,Fonte Boa Airport,
Fortaleza,Ceará,SBFZ,FOR,Pinto Martins International Airport,Fraport Brasil
Foz do Iguaçu,Paraná,SBFI,IGU,Cataratas International Airport,Infraero / CCR
Franca,São Paulo,SIMK,FRC,Ten. Lund Presotto Airport,DAESP / Voa São Paulo
Francisco Beltrão,Paraná,SSFB,FBE,Paulo Abdala Airport,SEIL
Garanhuns,Pernambuco,SNGN,QGP,Garanhuns Airport,
Gavião Peixoto,São Paulo,SBGP,,Gavião Peixoto Aerodrome,Embraer
Goiânia,Goiás,SBNV,,Aeródromo Nacional de Aviação,
Goiânia,Goiás,SBGO,GYN,Santa Genoveva Airport,Infraero / CCR
Governador Valadares,Minas Gerais,SBGV,GVR,Cel. Altino Machado de Oliveira Airport,
Guaíra,Paraná,SSGY,GGJ,Walter Martins de Oliveira Airport,SEIL
Guanambi,Bahia,SNGI,GNM,Guanambi Airport,Infracea
Guarapari,Espírito Santo,SNGA,GUZ,Guarapari Airport,
Guarapuava,Paraná,SSGG,GPB,Tancredo Thomas de Faria Airport,SEIL
